id,name,description
Art.12(1),GDPR Art.12(1),[Auto-generated stub] GDPR requirement Art.12(1) (family: Art). Replace with authoritative text.
Art.12(7),GDPR Art.12(7),[Auto-generated stub] GDPR requirement Art.12(7) (family: Art). Replace with authoritative text.
Art.13(1),GDPR Art.13(1),[Auto-generated stub] GDPR requirement Art.13(1) (family: Art). Replace with authoritative text.
Art.13(2),GDPR Art.13(2),[Auto-generated stub] GDPR requirement Art.13(2) (family: Art). Replace with authoritative text.
Art.14(1),GDPR Art.14(1),[Auto-generated stub] GDPR requirement Art.14(1) (family: Art). Replace with authoritative text.
Art.14(2),GDPR Art.14(2),[Auto-generated stub] GDPR requirement Art.14(2) (family: Art). Replace with authoritative text.
Art.16,GDPR Art.16,[Auto-generated stub] GDPR requirement Art.16 (family: Art). Replace with authoritative text.
Art.17(1),GDPR Art.17(1),[Auto-generated stub] GDPR requirement Art.17(1) (family: Art). Replace with authoritative text.
Art.22(1),GDPR Art.22(1),[Auto-generated stub] GDPR requirement Art.22(1) (family: Art). Replace with authoritative text.
Art.22(2),GDPR Art.22(2),[Auto-generated stub] GDPR requirement Art.22(2) (family: Art). Replace with authoritative text.
Art.22(3),GDPR Art.22(3),[Auto-generated stub] GDPR requirement Art.22(3) (family: Art). Replace with authoritative text.
Art.22(4),GDPR Art.22(4),[Auto-generated stub] GDPR requirement Art.22(4) (family: Art). Replace with authoritative text.
Art.24(1),GDPR Art.24(1),[Auto-generated stub] GDPR requirement Art.24(1) (family: Art). Replace with authoritative text.
Art.24(2),GDPR Art.24(2),[Auto-generated stub] GDPR requirement Art.24(2) (family: Art). Replace with authoritative text.
Art.25(1),GDPR Art.25(1),[Auto-generated stub] GDPR requirement Art.25(1) (family: Art). Replace with authoritative text.
Art.25(2),GDPR Art.25(2),[Auto-generated stub] GDPR requirement Art.25(2) (family: Art). Replace with authoritative text.
Art.28(1),GDPR Art.28(1),[Auto-generated stub] GDPR requirement Art.28(1) (family: Art). Replace with authoritative text.
Art.28(2),GDPR Art.28(2),[Auto-generated stub] GDPR requirement Art.28(2) (family: Art). Replace with authoritative text.
Art.28(3),GDPR Art.28(3),[Auto-generated stub] GDPR requirement Art.28(3) (family: Art). Replace with authoritative text.
Art.28(3)(a),GDPR Art.28(3)(a),[Auto-generated stub] GDPR requirement Art.28(3)(a) (family: Art). Replace with authoritative text.
Art.28(3)(b),GDPR Art.28(3)(b),[Auto-generated stub] GDPR requirement Art.28(3)(b) (family: Art). Replace with authoritative text.
Art.28(3)(c),GDPR Art.28(3)(c),[Auto-generated stub] GDPR requirement Art.28(3)(c) (family: Art). Replace with authoritative text.
Art.28(3)(f),GDPR Art.28(3)(f),[Auto-generated stub] GDPR requirement Art.28(3)(f) (family: Art). Replace with authoritative text.
Art.28(3)(g),GDPR Art.28(3)(g),[Auto-generated stub] GDPR requirement Art.28(3)(g) (family: Art). Replace with authoritative text.
Art.28(3)(h),GDPR Art.28(3)(h),[Auto-generated stub] GDPR requirement Art.28(3)(h) (family: Art). Replace with authoritative text.
Art.28(4),GDPR Art.28(4),[Auto-generated stub] GDPR requirement Art.28(4) (family: Art). Replace with authoritative text.
Art.29,GDPR Art.29,[Auto-generated stub] GDPR requirement Art.29 (family: Art). Replace with authoritative text.
Art.30(1),GDPR Art.30(1),[Auto-generated stub] GDPR requirement Art.30(1) (family: Art). Replace with authoritative text.
Art.30(1)(g),GDPR Art.30(1)(g),[Auto-generated stub] GDPR requirement Art.30(1)(g) (family: Art). Replace with authoritative text.
Art.30(2),GDPR Art.30(2),[Auto-generated stub] GDPR requirement Art.30(2) (family: Art). Replace with authoritative text.
Art.30(2)(d),GDPR Art.30(2)(d),[Auto-generated stub] GDPR requirement Art.30(2)(d) (family: Art). Replace with authoritative text.
Art.32(1),GDPR Art.32(1),[Auto-generated stub] GDPR requirement Art.32(1) (family: Art). Replace with authoritative text.
Art.32(1)(a),GDPR Art.32(1)(a),[Auto-generated stub] GDPR requirement Art.32(1)(a) (family: Art). Replace with authoritative text.
Art.32(1)(b),GDPR Art.32(1)(b),[Auto-generated stub] GDPR requirement Art.32(1)(b) (family: Art). Replace with authoritative text.
Art.32(1)(c),GDPR Art.32(1)(c),[Auto-generated stub] GDPR requirement Art.32(1)(c) (family: Art). Replace with authoritative text.
Art.32(1)(d),GDPR Art.32(1)(d),[Auto-generated stub] GDPR requirement Art.32(1)(d) (family: Art). Replace with authoritative text.
Art.32(2),GDPR Art.32(2),[Auto-generated stub] GDPR requirement Art.32(2) (family: Art). Replace with authoritative text.
Art.32(4),GDPR Art.32(4),[Auto-generated stub] GDPR requirement Art.32(4) (family: Art). Replace with authoritative text.
Art.33(1),GDPR Art.33(1),[Auto-generated stub] GDPR requirement Art.33(1) (family: Art). Replace with authoritative text.
Art.33(2),GDPR Art.33(2),[Auto-generated stub] GDPR requirement Art.33(2) (family: Art). Replace with authoritative text.
Art.33(3),GDPR Art.33(3),[Auto-generated stub] GDPR requirement Art.33(3) (family: Art). Replace with authoritative text.
Art.33(3)(a),GDPR Art.33(3)(a),[Auto-generated stub] GDPR requirement Art.33(3)(a) (family: Art). Replace with authoritative text.
Art.33(3)(b),GDPR Art.33(3)(b),[Auto-generated stub] GDPR requirement Art.33(3)(b) (family: Art). Replace with authoritative text.
Art.33(3)(d),GDPR Art.33(3)(d),[Auto-generated stub] GDPR requirement Art.33(3)(d) (family: Art). Replace with authoritative text.
Art.33(4),GDPR Art.33(4),[Auto-generated stub] GDPR requirement Art.33(4) (family: Art). Replace with authoritative text.
Art.33(5),GDPR Art.33(5),[Auto-generated stub] GDPR requirement Art.33(5) (family: Art). Replace with authoritative text.
Art.34(1),GDPR Art.34(1),[Auto-generated stub] GDPR requirement Art.34(1) (family: Art). Replace with authoritative text.
Art.34(2),GDPR Art.34(2),[Auto-generated stub] GDPR requirement Art.34(2) (family: Art). Replace with authoritative text.
Art.34(3),GDPR Art.34(3),[Auto-generated stub] GDPR requirement Art.34(3) (family: Art). Replace with authoritative text.
Art.35(1),GDPR Art.35(1),[Auto-generated stub] GDPR requirement Art.35(1) (family: Art). Replace with authoritative text.
Art.35(11),GDPR Art.35(11),[Auto-generated stub] GDPR requirement Art.35(11) (family: Art). Replace with authoritative text.
Art.35(3),GDPR Art.35(3),[Auto-generated stub] GDPR requirement Art.35(3) (family: Art). Replace with authoritative text.
Art.35(7),GDPR Art.35(7),[Auto-generated stub] GDPR requirement Art.35(7) (family: Art). Replace with authoritative text.
Art.35(7)(a),GDPR Art.35(7)(a),[Auto-generated stub] GDPR requirement Art.35(7)(a) (family: Art). Replace with authoritative text.
Art.35(7)(c),GDPR Art.35(7)(c),[Auto-generated stub] GDPR requirement Art.35(7)(c) (family: Art). Replace with authoritative text.
Art.36(1),GDPR Art.36(1),[Auto-generated stub] GDPR requirement Art.36(1) (family: Art). Replace with authoritative text.
Art.37(1),GDPR Art.37(1),[Auto-generated stub] GDPR requirement Art.37(1) (family: Art). Replace with authoritative text.
Art.39(1),GDPR Art.39(1),[Auto-generated stub] GDPR requirement Art.39(1) (family: Art). Replace with authoritative text.
Art.39(1)(b),GDPR Art.39(1)(b),[Auto-generated stub] GDPR requirement Art.39(1)(b) (family: Art). Replace with authoritative text.
Art.44,GDPR Art.44,[Auto-generated stub] GDPR requirement Art.44 (family: Art). Replace with authoritative text.
Art.46(1),GDPR Art.46(1),[Auto-generated stub] GDPR requirement Art.46(1) (family: Art). Replace with authoritative text.
Art.46(2),GDPR Art.46(2),[Auto-generated stub] GDPR requirement Art.46(2) (family: Art). Replace with authoritative text.
Art.47(2)(n),GDPR Art.47(2)(n),[Auto-generated stub] GDPR requirement Art.47(2)(n) (family: Art). Replace with authoritative text.
Art.5(1)(a),GDPR Art.5(1)(a),[Auto-generated stub] GDPR requirement Art.5(1)(a) (family: Art). Replace with authoritative text.
Art.5(1)(b),GDPR Art.5(1)(b),[Auto-generated stub] GDPR requirement Art.5(1)(b) (family: Art). Replace with authoritative text.
Art.5(1)(c),GDPR Art.5(1)(c),[Auto-generated stub] GDPR requirement Art.5(1)(c) (family: Art). Replace with authoritative text.
Art.5(1)(d),GDPR Art.5(1)(d),[Auto-generated stub] GDPR requirement Art.5(1)(d) (family: Art). Replace with authoritative text.
Art.5(1)(e),GDPR Art.5(1)(e),[Auto-generated stub] GDPR requirement Art.5(1)(e) (family: Art). Replace with authoritative text.
Art.5(1)(f),GDPR Art.5(1)(f),[Auto-generated stub] GDPR requirement Art.5(1)(f) (family: Art). Replace with authoritative text.
Art.5(2),GDPR Art.5(2),[Auto-generated stub] GDPR requirement Art.5(2) (family: Art). Replace with authoritative text.
Art.6(1),GDPR Art.6(1),[Auto-generated stub] GDPR requirement Art.6(1) (family: Art). Replace with authoritative text.
Art.6(1)(a),GDPR Art.6(1)(a),[Auto-generated stub] GDPR requirement Art.6(1)(a) (family: Art). Replace with authoritative text.
Art.6(4),GDPR Art.6(4),[Auto-generated stub] GDPR requirement Art.6(4) (family: Art). Replace with authoritative text.
Art.7(1),GDPR Art.7(1),[Auto-generated stub] GDPR requirement Art.7(1) (family: Art). Replace with authoritative text.
Art.7(2),GDPR Art.7(2),[Auto-generated stub] GDPR requirement Art.7(2) (family: Art). Replace with authoritative text.
Art.7(3),GDPR Art.7(3),[Auto-generated stub] GDPR requirement Art.7(3) (family: Art). Replace with authoritative text.
Art.8(1),GDPR Art.8(1),[Auto-generated stub] GDPR requirement Art.8(1) (family: Art). Replace with authoritative text.
Art.9(1),GDPR Art.9(1),[Auto-generated stub] GDPR requirement Art.9(1) (family: Art). Replace with authoritative text.
Art.9(2),GDPR Art.9(2),[Auto-generated stub] GDPR requirement Art.9(2) (family: Art). Replace with authoritative text.
Rec.78,GDPR Rec.78,[Auto-generated stub] GDPR requirement Rec.78 (family: Rec). Replace with authoritative text.
Rec.83,GDPR Rec.83,[Auto-generated stub] GDPR requirement Rec.83 (family: Rec). Replace with authoritative text.
