id,name,description
Article 10.1,EU-AIACT Article 10.1,[Auto-generated stub] EU-AIACT requirement Article 10.1 (family: Article). Replace with authoritative text.
Article 10.2,EU-AIACT Article 10.2,[Auto-generated stub] EU-AIACT requirement Article 10.2 (family: Article). Replace with authoritative text.
Article 10.2(a),EU-AIACT Article 10.2(a),[Auto-generated stub] EU-AIACT requirement Article 10.2(a) (family: Article). Replace with authoritative text.
Article 10.2(b),EU-AIACT Article 10.2(b),[Auto-generated stub] EU-AIACT requirement Article 10.2(b) (family: Article). Replace with authoritative text.
Article 10.2(c),EU-AIACT Article 10.2(c),[Auto-generated stub] EU-AIACT requirement Article 10.2(c) (family: Article). Replace with authoritative text.
Article 10.2(d),EU-AIACT Article 10.2(d),[Auto-generated stub] EU-AIACT requirement Article 10.2(d) (family: Article). Replace with authoritative text.
Article 10.2(e),EU-AIACT Article 10.2(e),[Auto-generated stub] EU-AIACT requirement Article 10.2(e) (family: Article). Replace with authoritative text.
Article 10.2(f),EU-AIACT Article 10.2(f),[Auto-generated stub] EU-AIACT requirement Article 10.2(f) (family: Article). Replace with authoritative text.
Article 10.2(g),EU-AIACT Article 10.2(g),[Auto-generated stub] EU-AIACT requirement Article 10.2(g) (family: Article). Replace with authoritative text.
Article 10.2(h),EU-AIACT Article 10.2(h),[Auto-generated stub] EU-AIACT requirement Article 10.2(h) (family: Article). Replace with authoritative text.
Article 10.3,EU-AIACT Article 10.3,[Auto-generated stub] EU-AIACT requirement Article 10.3 (family: Article). Replace with authoritative text.
Article 10.4,EU-AIACT Article 10.4,[Auto-generated stub] EU-AIACT requirement Article 10.4 (family: Article). Replace with authoritative text.
Article 10.5,EU-AIACT Article 10.5,[Auto-generated stub] EU-AIACT requirement Article 10.5 (family: Article). Replace with authoritative text.
Article 10.5(a),EU-AIACT Article 10.5(a),[Auto-generated stub] EU-AIACT requirement Article 10.5(a) (family: Article). Replace with authoritative text.
Article 10.5(b),EU-AIACT Article 10.5(b),[Auto-generated stub] EU-AIACT requirement Article 10.5(b) (family: Article). Replace with authoritative text.
Article 10.5(c),EU-AIACT Article 10.5(c),[Auto-generated stub] EU-AIACT requirement Article 10.5(c) (family: Article). Replace with authoritative text.
Article 10.5(d),EU-AIACT Article 10.5(d),[Auto-generated stub] EU-AIACT requirement Article 10.5(d) (family: Article). Replace with authoritative text.
Article 10.5(e),EU-AIACT Article 10.5(e),[Auto-generated stub] EU-AIACT requirement Article 10.5(e) (family: Article). Replace with authoritative text.
Article 10.5(f),EU-AIACT Article 10.5(f),[Auto-generated stub] EU-AIACT requirement Article 10.5(f) (family: Article). Replace with authoritative text.
Article 10.6,EU-AIACT Article 10.6,[Auto-generated stub] EU-AIACT requirement Article 10.6 (family: Article). Replace with authoritative text.
Article 11.1,EU-AIACT Article 11.1,[Auto-generated stub] EU-AIACT requirement Article 11.1 (family: Article). Replace with authoritative text.
Article 11.2,EU-AIACT Article 11.2,[Auto-generated stub] EU-AIACT requirement Article 11.2 (family: Article). Replace with authoritative text.
Article 111.3,EU-AIACT Article 111.3,[Auto-generated stub] EU-AIACT requirement Article 111.3 (family: Article). Replace with authoritative text.
Article 12.1,EU-AIACT Article 12.1,[Auto-generated stub] EU-AIACT requirement Article 12.1 (family: Article). Replace with authoritative text.
Article 12.2,EU-AIACT Article 12.2,[Auto-generated stub] EU-AIACT requirement Article 12.2 (family: Article). Replace with authoritative text.
Article 12.2(a),EU-AIACT Article 12.2(a),[Auto-generated stub] EU-AIACT requirement Article 12.2(a) (family: Article). Replace with authoritative text.
