id,name,description
GOVERN 1.0,NIST-AIRMF GOVERN 1.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.0 (family: GOVERN). Replace with authoritative text.
GOVERN 1.1,NIST-AIRMF GOVERN 1.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.1 (family: GOVERN). Replace with authoritative text.
GOVERN 1.2,NIST-AIRMF GOVERN 1.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.2 (family: GOVERN). Replace with authoritative text.
GOVERN 1.3,NIST-AIRMF GOVERN 1.3,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.3 (family: GOVERN). Replace with authoritative text.
GOVERN 1.4,NIST-AIRMF GOVERN 1.4,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.4 (family: GOVERN). Replace with authoritative text.
GOVERN 1.5,NIST-AIRMF GOVERN 1.5,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.5 (family: GOVERN). Replace with authoritative text.
GOVERN 1.6,NIST-AIRMF GOVERN 1.6,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.6 (family: GOVERN). Replace with authoritative text.
GOVERN 1.7,NIST-AIRMF GOVERN 1.7,[Auto-generated stub] NIST-AIRMF requirement GOVERN 1.7 (family: GOVERN). Replace with authoritative text.
GOVERN 2.0,NIST-AIRMF GOVERN 2.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 2.0 (family: GOVERN). Replace with authoritative text.
GOVERN 2.1,NIST-AIRMF GOVERN 2.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 2.1 (family: GOVERN). Replace with authoritative text.
GOVERN 2.2,NIST-AIRMF GOVERN 2.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 2.2 (family: GOVERN). Replace with authoritative text.
GOVERN 2.3,NIST-AIRMF GOVERN 2.3,[Auto-generated stub] NIST-AIRMF requirement GOVERN 2.3 (family: GOVERN). Replace with authoritative text.
GOVERN 3.0,NIST-AIRMF GOVERN 3.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 3.0 (family: GOVERN). Replace with authoritative text.
GOVERN 3.1,NIST-AIRMF GOVERN 3.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 3.1 (family: GOVERN). Replace with authoritative text.
GOVERN 3.2,NIST-AIRMF GOVERN 3.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 3.2 (family: GOVERN). Replace with authoritative text.
GOVERN 4.0,NIST-AIRMF GOVERN 4.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 4.0 (family: GOVERN). Replace with authoritative text.
GOVERN 4.1,NIST-AIRMF GOVERN 4.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 4.1 (family: GOVERN). Replace with authoritative text.
GOVERN 4.2,NIST-AIRMF GOVERN 4.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 4.2 (family: GOVERN). Replace with authoritative text.
GOVERN 4.3,NIST-AIRMF GOVERN 4.3,[Auto-generated stub] NIST-AIRMF requirement GOVERN 4.3 (family: GOVERN). Replace with authoritative text.
GOVERN 5.0,NIST-AIRMF GOVERN 5.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 5.0 (family: GOVERN). Replace with authoritative text.
GOVERN 5.1,NIST-AIRMF GOVERN 5.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 5.1 (family: GOVERN). Replace with authoritative text.
GOVERN 5.2,NIST-AIRMF GOVERN 5.2,[Auto-generated stub] NIST-AIRMF requirement GOVERN 5.2 (family: GOVERN). Replace with authoritative text.
GOVERN 6.0,NIST-AIRMF GOVERN 6.0,[Auto-generated stub] NIST-AIRMF requirement GOVERN 6.0 (family: GOVERN). Replace with authoritative text.
GOVERN 6.1,NIST-AIRMF GOVERN 6.1,[Auto-generated stub] NIST-AIRMF requirement GOVERN 6.1 (family: GOVERN). Replace with authoritative text.
