id,name,description
10.1,ISO42001 10.1,[Auto-generated stub] ISO42001 requirement 10.1 (family: 10). Replace with authoritative text.
10.2,ISO42001 10.2,[Auto-generated stub] ISO42001 requirement 10.2 (family: 10). Replace with authoritative text.
10.2(a),ISO42001 10.2(a),[Auto-generated stub] ISO42001 requirement 10.2(a) (family: 10). Replace with authoritative text.
10.2(a)(1),ISO42001 10.2(a)(1),[Auto-generated stub] ISO42001 requirement 10.2(a)(1) (family: 10). Replace with authoritative text.
10.2(a)(2),ISO42001 10.2(a)(2),[Auto-generated stub] ISO42001 requirement 10.2(a)(2) (family: 10). Replace with authoritative text.
10.2(b),ISO42001 10.2(b),[Auto-generated stub] ISO42001 requirement 10.2(b) (family: 10). Replace with authoritative text.
10.2(b)(1),ISO42001 10.2(b)(1),[Auto-generated stub] ISO42001 requirement 10.2(b)(1) (family: 10). Replace with authoritative text.
10.2(b)(2),ISO42001 10.2(b)(2),[Auto-generated stub] ISO42001 requirement 10.2(b)(2) (family: 10). Replace with authoritative text.
10.2(b)(3),ISO42001 10.2(b)(3),[Auto-generated stub] ISO42001 requirement 10.2(b)(3) (family: 10). Replace with authoritative text.
10.2(c),ISO42001 10.2(c),[Auto-generated stub] ISO42001 requirement 10.2(c) (family: 10). Replace with authoritative text.
10.2(d),ISO42001 10.2(d),[Auto-generated stub] ISO42001 requirement 10.2(d) (family: 10). Replace with authoritative text.
10.2(e),ISO42001 10.2(e),[Auto-generated stub] ISO42001 requirement 10.2(e) (family: 10). Replace with authoritative text.
3.0,ISO42001 3.0,[Auto-generated stub] ISO42001 requirement 3.0 (family: 3). Replace with authoritative text.
4.1,ISO42001 4.1,[Auto-generated stub] ISO42001 requirement 4.1 (family: 4). Replace with authoritative text.
4.2,ISO42001 4.2,[Auto-generated stub] ISO42001 requirement 4.2 (family: 4). Replace with authoritative text.
4.3,ISO42001 4.3,[Auto-generated stub] ISO42001 requirement 4.3 (family: 4). Replace with authoritative text.
4.4,ISO42001 4.4,[Auto-generated stub] ISO42001 requirement 4.4 (family: 4). Replace with authoritative text.
5.1,ISO42001 5.1,[Auto-generated stub] ISO42001 requirement 5.1 (family: 5). Replace with authoritative text.
5.2,ISO42001 5.2,[Auto-generated stub] ISO42001 requirement 5.2 (family: 5). Replace with authoritative text.
5.2(a),ISO42001 5.2(a),[Auto-generated stub] ISO42001 requirement 5.2(a) (family: 5). Replace with authoritative text.
5.2(b),ISO42001 5.2(b),[Auto-generated stub] ISO42001 requirement 5.2(b) (family: 5). Replace with authoritative text.
5.2(c),ISO42001 5.2(c),[Auto-generated stub] ISO42001 requirement 5.2(c) (family: 5). Replace with authoritative text.
5.2(d),ISO42001 5.2(d),[Auto-generated stub] ISO42001 requirement 5.2(d) (family: 5). Replace with authoritative text.
5.3,ISO42001 5.3,[Auto-generated stub] ISO42001 requirement 5.3 (family: 5). Replace with authoritative text.
5.3(a),ISO42001 5.3(a),[Auto-generated stub] ISO42001 requirement 5.3(a) (family: 5). Replace with authoritative text.
5.3(b),ISO42001 5.3(b),[Auto-generated stub] ISO42001 requirement 5.3(b) (family: 5). Replace with authoritative text.
6.1.1,ISO42001 6.1.1,[Auto-generated stub] ISO42001 requirement 6.1.1 (family: 6). Replace with authoritative text.
6.1.2,ISO42001 6.1.2,[Auto-generated stub] ISO42001 requirement 6.1.2 (family: 6). Replace with authoritative text.
6.1.2(a),ISO42001 6.1.2(a),[Auto-generated stub] ISO42001 requirement 6.1.2(a) (family: 6). Replace with authoritative text.
6.1.2(b),ISO42001 6.1.2(b),[Auto-generated stub] ISO42001 requirement 6.1.2(b) (family: 6). Replace with authoritative text.
6.1.2(c),ISO42001 6.1.2(c),[Auto-generated stub] ISO42001 requirement 6.1.2(c) (family: 6). Replace with authoritative text.
6.1.2(d),ISO42001 6.1.2(d),[Auto-generated stub] ISO42001 requirement 6.1.2(d) (family: 6). Replace with authoritative text.
6.1.2(d)(1),ISO42001 6.1.2(d)(1),[Auto-generated stub] ISO42001 requirement 6.1.2(d)(1) (family: 6). Replace with authoritative text.
6.1.2(d)(2),ISO42001 6.1.2(d)(2),[Auto-generated stub] ISO42001 requirement 6.1.2(d)(2) (family: 6). Replace with authoritative text.
